access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,restricted_access,status_code,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,federal_agency,ev_network_ids
public,,,,2022-10-06,,ELEC,Public,150575,,2019-03-31,P,,E,,Enterprise Parking 150 Myrtle Ave - Tesla Destination,718-422-7506  877-798-3752,2023-01-18T15:15:20Z,200-9,40.693476,-73.982605,Brooklyn,US,,,NY,150 Myrtle Ave,11201,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514199']}
public,,,,2022-10-06,,ELEC,Public,150576,,2019-03-31,P,,E,,Enterprise Parking 147 Flatbush Avenue Extension - Tesla Destination,718-855-7050  877-798-3752,2023-01-18T15:15:20Z,200-9,40.695154,-73.983861,Brooklyn,US,,,NY,147 Flatbush Ave Ext,11201,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514197']}
public,,,,2022-10-06,,ELEC,Public,150577,,2019-03-31,P,,E,,MPG Parking 98-41 Queens Blvd - Tesla Destination,718-997-0630  877-798-3752,2023-01-18T15:15:20Z,200-8,40.728618,-73.856054,Rego Park,US,,,NY,98-59 65th Rd,11374,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514196']}
public,,,,2022-10-06,,ELEC,Public,150578,,2019-03-31,P,,E,,LAZ Parking 133-59 Roosevelt Ave - Tesla Destination,718-888-1234  877-798-3752,2023-01-18T15:15:20Z,200-8,40.758956,-73.832331,Flushing,US,,,NY,133-59 Roosevelt Ave,11354,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514195']}
public,,,,2022-10-06,,ELEC,Public,150579,,2019-03-31,P,,E,,LAZ Parking 136-20 38th Ave - Tesla Destination,347-723-3375  877-798-3752,2023-01-18T15:15:20Z,200-9,40.760965,-73.829807,Flushing,US,,,NY,136-20 38th Ave,11354,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514194']}
public,,,,2022-10-06,,ELEC,Public,150580,,2019-03-31,P,,E,,IMPark 188 E 78th St - Tesla Destination,212-535-0403  877-798-3752,2023-01-18T15:15:20Z,200-9,40.773665,-73.958333,Manhattan,US,,,NY,188 E 78th St,10075,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514193']}
public,,,,2022-10-06,,ELEC,Public,150581,,2019-03-31,P,,E,,IMPark 302 2nd St - Tesla Destination,718-499-1235  877-798-3752,2023-01-18T15:15:20Z,200-9,40.674312,-73.98488,Brooklyn,US,,,NY,302 2nd St,11215,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514192']}
public,,,,2022-10-06,,ELEC,Public,150582,,2019-03-31,P,,E,,IPark 255 Schermerhorn - Tesla Destination,347-763-2930  877-798-3752,2023-01-18T15:15:20Z,200-9,40.687913,-73.983039,Brooklyn,US,,,NY,255 Schermerhorn St,11217,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514191']}
public,,,,2022-10-06,,ELEC,Public,150583,,2019-03-31,P,,E,,IPark 99 3rd Avenue - Tesla Destination,347-457-6504  877-798-3752,2023-01-18T15:15:20Z,200-8,40.683126,-73.982088,Brooklyn,US,,,NY,99 3rd Ave,11217,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514189']}
public,,,,2022-10-06,,ELEC,Public,150584,,2019-03-31,P,,E,,PV Parking 34-11 Steinway - Tesla Destination,718-609-1200  877-798-3752,2023-01-18T15:15:20Z,200-9,40.7560685,-73.9204663,Astoria,US,,,NY,34-11 Steinway St,11101,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514188']}
public,,,,2022-10-06,,ELEC,Public,150585,,2019-03-30,P,,E,,"Sylvan Parking 23-25 31st St, Astoria - Tesla Destination",718-204-5005  877-798-3752,2023-01-18T15:15:20Z,200-9,40.77364,-73.91352,Astoria,US,,,NY,23-25 31st St,11105,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514182']}
public,,,,2022-10-06,,ELEC,Public,150586,,2019-03-30,P,,E,,Sylvan Parking 136-33 37th Ave - Tesla Destination,718-762-2729  877-798-3752,2023-01-18T15:15:20Z,200-9,40.761959,-73.829813,Flushing,US,,,NY,136-33 37th Ave,11354,,,,,,,,,,,,['TESLA'],,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514181']}
public,,,,2022-10-06,,ELEC,Public,150587,,2019-03-30,P,,E,,IMPark 92-77 Queens Blvd - Tesla Destination,212-937-8660  877-798-3752,2023-01-18T15:15:20Z,200-8,40.732255,-73.866674,Rego Park,US,,,NY,92-77 Queens Blvd,11374,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514180']}
public,,,,2022-10-06,,ELEC,Public,150596,,2019-08-28,P,,E,,300 W 135 St - Little Man Parking - Tesla Destination,212-714-3571  877-798-3752,2023-01-18T15:15:20Z,200-9,40.816777,-73.947435,New York,US,,,NY,300 W 135 St,10030,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['514076']}
public,,,,2022-10-06,,ELEC,Public,150600,,2019-03-30,P,,E,,4545 Center Blvd-TF Cornerstone LIC - Tesla Destination,718-440-3408  877-798-3752,2023-01-18T15:15:20Z,200-9,40.747676,-73.956012,Long Island City,US,,,NY,4545 Center Blvd,11109,,,,,,,,,,,,['TESLA'],,,8.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['513992']}
public,,,,2022-10-06,,ELEC,Public,150610,,2019-08-28,P,,E,,Morty's Oyster Stand - Tesla Destination,631-668-8355  877-798-3752,2023-01-18T15:15:20Z,200-9,41.002714,-72.031445,Montauk,US,,,NY,2167 Montauk Hwy,11954,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['513928']}
public,,,,2022-10-06,,ELEC,Public,150611,,2019-04-17,P,,E,,The Kartrite Resort & Indoor Waterpark - Tesla Destination,844-527-8748  877-798-3752,2023-01-18T15:15:20Z,200-9,41.674806,-74.64861,Monticello,US,,,NY,555 Resorts World Dr,12701,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['513917']}
public,,,,2022-10-06,,ELEC,Public,150614,,2019-01-18,P,,E,,ProPark 110-45 Queens Blvd - Tesla Destination,718-793-8096  877-798-3752,2023-01-18T15:15:20Z,200-9,40.719885,-73.83857,Forest Hills,US,,,NY,110-45 Queens Blvd,11375,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['513863']}
public,,,,2022-10-06,,ELEC,Public,150616,,2019-01-17,P,,E,,ProPark 29-10 Broadway - Tesla Destination,718-728-0460  877-798-3752,2023-01-18T15:15:20Z,200-9,40.7623317,-73.9269683,Astoria,US,,,NY,29-10 Broadway,11106,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['513844']}
public,,,,2022-10-06,,ELEC,Public,150624,,2019-08-28,P,,E,,3050 Corlear Ave - Nagle Parking Inc. - Tesla Destination,718-708-5077  877-798-3752,2023-01-18T15:15:20Z,200-9,40.880142,-73.907385,Bronx,US,,,NY,3050 Corlear Ave,10463,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['513701']}
public,,,,2022-10-06,,ELEC,Public,150637,,2019-04-26,P,,E,,Best Western Saranac Lake - Tesla Destination,518-891-1970  877-798-3752,2023-01-18T15:15:20Z,200-8,44.314971,-74.119201,Saranac Lake,US,,,NY,487 Lake Flower Ave,12983,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['513620']}
public,,,,2022-10-06,,ELEC,Public,150639,,2018-11-30,P,,E,,Sylvan Gerard Garage - Tesla Destination,718-793-6773  877-798-3752,2023-01-18T15:15:20Z,200-9,40.7218556,-73.8491057,Forest Hills,US,,,NY,70-25 Yellowstone Blvd,11375,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['513586']}
public,,,,2022-10-06,,ELEC,Public,150649,,2018-07-06,P,,E,,19-80 Steinway - Tesla Destination,347-697-6733  877-798-3752,2023-01-18T15:15:20Z,200-8,40.776957,-73.90115,Astoria,US,,,NY,1980 Steinway St,11105,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['511982']}
public,,,,2022-10-06,,ELEC,Public,150653,,2018-05-21,P,,E,,2702 Queens Plaza South - Tesla Destination,718-864-2992  877-798-3752,2023-01-18T15:15:20Z,200-9,40.749941,-73.939887,Long Island City,US,,,NY,2702 Queens Plaza S,11101,,,,,,,,,,,,['TESLA'],,,6.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['511091']}
public,,,,2022-10-06,,ELEC,Public,150660,,2016-04-30,P,,E,,Icon Parking E 72nd Street - Tesla Destination,212-249-8196  877-798-3752,2023-01-18T15:15:20Z,200-9,40.766554,-73.952905,New York,US,,,NY,515 E 72nd St,10021,,,,,,,,,,,,"['J1772', 'TESLA']",,,5.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['501395']}
public,,,,2022-10-06,,ELEC,Public,150678,,2019-06-11,P,,E,,Hampton Inn & Suites Lake Placid - Tesla Destination,518-523-9500  877-798-3752,2023-01-18T15:15:20Z,200-9,44.283352,-73.980659,Lake Placid,US,,,NY,801 Mirror Lake Dr,12946,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['512743']}
public,,,,2022-10-06,,ELEC,Public,150686,,2018-10-17,P,,E,,GGMC Parking MODA - Tesla Destination,718-523-1475  877-798-3752,2023-01-18T15:15:20Z,200-9,40.705133,-73.801443,Jamaica,US,,,NY,89-14 Parsons Blvd,11432,,,,,,,,,,,,"['J1772', 'TESLA']",,,7.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['513142']}
public,,,,2022-10-06,,ELEC,Public,150697,,2019-08-28,P,,E,,Bruno's Bakery and Restaurant Hylan Blvd - Tesla Destination,718-987-5859  877-798-3752,2023-01-18T15:15:20Z,200-9,40.588091,-74.089936,Staten Island,US,,,NY,1650 Hylan Blvd,10305,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['510307']}
public,,,,2022-10-06,,ELEC,Public,150722,,2017-02-06,P,,E,,Manhattan Parking 110 LLC - Tesla Destination,212-222-7813  877-798-3752,2023-01-18T15:15:20Z,200-9,40.803934,-73.966049,New York,US,,,NY,543 W 110th St,10025,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['504425']}
public,,,,2022-10-06,,ELEC,Public,150742,,2019-08-19,P,,E,,Crowne Plaza Lake Placid - Tesla Destination,518-523-2556  877-798-3752,2023-01-18T15:15:20Z,200-8,44.2851733,-73.9869122,Lake Placid,US,,,NY,101 Olympic Dr,12946,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['509321']}
public,,,,2022-10-06,,ELEC,Public,150746,,2019-04-29,P,,E,,Dartmouth House - Tesla Destination,585-434-3069  877-798-3752,2023-01-18T15:15:20Z,200-9,43.145031,-77.58624,Rochester,US,,,NY,215 Dartmouth St,14607,,,,,,,,,,,,['TESLA'],,,1.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['509654']}
public,24 hours daily,,,2024-05-03,,ELEC,Public,150803,,2019-12-26,,,E,,REIKART HOUSE JAZZBOLINE 2,888-758-4389,2024-05-03T01:04:24Z,GPS,42.960133,-78.76967,Amherst,US,,,NY,5010 Main St,14226,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2049591'], 'posts': ['2435561', '2435571']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,150805,,2019-12-26,,,E,,HYATT PLACE HOTEL AMHERST 1,888-758-4389,2024-05-03T01:04:24Z,GPS,42.960632,-78.76919,Amherst,US,,,NY,5020 Main Street,14226,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2049301'], 'posts': ['23343961', '23343971']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,150809,,2019-12-27,,,E,,SPOTCOWORK HENRIETTA,888-758-4389,2024-05-03T01:04:26Z,GPS,43.091965,-77.580734,Rochester,US,,,NY,21 Goodway Drive,14623,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2050261'], 'posts': ['2436371', '2436381']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,150825,,2019-12-28,,,E,,REIKART HOUSE JAZZBOLINE 1,888-758-4389,2024-05-03T01:04:25Z,GPS,42.96014,-78.76977,Buffalo,US,,,NY,5000-5010 Main St,14226,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2049611'], 'posts': ['2435591', '2435601']}"
public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,2024-05-03,,ELEC,Public,151794,,2019-09-05,,False,E,,Broadway Commons Macys,888-264-2208,2024-05-03T02:54:16Z,GPS,40.77182,-73.531138,Hicksville,US,,,NY,358 N. Broadway Commons,11801,,,,,,,,,,,,['J1772'],,,2.0,Volta,https://voltacharging.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['652a011f-33f0-42cb-b436-48b580ca8115'], 'posts': ['45584dab-6b4b-4992-98b6-d49d7b5d9142', 'ae99221c-8a54-47fa-9664-eac751bf74e8']}"
public,24 hours daily,,,2023-07-01,,ELEC,Public,152158,,2020-01-20,P,,E,SHOPPING_CENTER,Outerbridge Commons - Tesla Supercharger,877-798-3752,2023-07-14T19:41:28Z,GPS,40.527543,-74.23131,New York City,US,,,NY,2925 Veterans Road West,10309,,,,,,,,,,,,['TESLA'],12.0,,,Tesla,https://www.tesla.com/supercharger,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['7950']}
public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,2024-05-03,,ELEC,Public,152207,,2020-01-20,,False,E,,Broadway Commons Target,888-264-2208,2024-05-03T02:56:55Z,GPS,40.7717695,-73.5322385,Hicksville,US,,,NY,358 N. Broadway Commons,11801,,,,,,,,,,,,['J1772'],,,2.0,Volta,https://voltacharging.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['e329d904-e519-4029-ad34-926afc343bb9'], 'posts': ['a4c5eba3-f89d-49ca-8053-c58d2a470a3c', 'f2f3e2d8-2c36-44d3-9d36-d677d6be415a']}"
public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,2024-05-03,,ELEC,Public,152208,,2020-01-20,,False,E,,Broadway Commons Showcase Cinema,888-264-2208,2024-05-03T02:57:27Z,GPS,40.7733995,-73.5331945,Hicksville,US,,,NY,358 N. Broadway Commons,11801,,,,,,,,,,,,['J1772'],,,2.0,Volta,https://voltacharging.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['fe500d07-c886-47d2-896d-a3b349c2548d'], 'posts': ['44cfa847-7641-48bf-9e59-7ad4cd7d0190', 'dec43d5e-045b-48be-b303-c1dd6e6867e4']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,152213,,2019-12-27,,,E,,500 Packetts Landing,866-816-7584,2024-05-03T02:46:04Z,GPS,43.100418,-77.439768,Fairport,US,,,NY,500 Packetts Landing,14450,,,,,,,,,,,,['J1772'],,,5.0,EV Connect,http://evconnect.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['a4963bc0-7a4a-426a-958c-ad5f1deaa11c'], 'posts': ['63340368769d34776391f13a', '63340369769d34776391f53c', '6334036a769d34776391f7ae', '6334036e769d347763921248', '63585dc83ab4be1a00d3cf06']}"
private,Police Use Only,,,2023-03-08,,ELEC,Private,152214,LD,2019-12-27,LG,,E,MUNI_GOV,Village Hall Police Station,,2024-03-07T21:29:46Z,GPS,43.1006,-77.4423,Fairport,US,Rear of Public Parking Lot,,NY,31 S Main St,14452,,,,,,,,,,,,['J1772'],,,1.0,EV Connect,http://evconnect.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,24 hours daily,,,2024-05-03,,ELEC,Public,152215,,2019-12-27,,,E,,Fairport Junction Public Parking Lot,866-816-7584,2024-05-03T02:45:58Z,GPS,43.10259,-77.441123,Fairport,US,,,NY,9 Liftbridge Ln East,14450,,,,,,,,,,,,['J1772'],,,6.0,EV Connect,http://evconnect.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['4af8f432-5d0c-4ed1-9a4a-e67412bee124'], 'posts': ['63340368769d34776391eeea', '63340368769d34776391f041', '63340368769d34776391f134', '63340368769d34776391f218', '63340369769d34776391f49e', '63340369769d34776391f53b']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,152216,,2019-12-27,,,E,,Potter Park,866-816-7584,2024-05-03T02:45:58Z,GPS,43.098049,-77.446537,Fairport,US,,,NY,53 West Church Street,14450,,,,,,,,,,,,['J1772'],,,2.0,EV Connect,http://evconnect.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['d8e49038-03dc-4d12-a5de-3a83c4443679'], 'posts': ['63340368769d34776391f13b', '6334036a769d34776391f7af']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,152233,,2020-01-07,,,E,,600 RIVER ROAD 600 RIVER,888-758-4389,2024-05-03T01:03:57Z,GPS,43.035576,-78.887184,North Tonawanda,US,,,NY,600 River Rd,14120,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2035611'], 'posts': ['2416751', '2416761']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,152239,,2020-01-07,,,E,,PATCHVILLAGE PATCHOGUE,888-758-4389,2024-05-03T01:01:34Z,GPS,40.761692,-73.01223,Patchogue,US,,,NY,14 Baker St,11772,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL1960741'], 'posts': ['2318791', '2318801']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,152272,,2020-01-08,,,E,,MARKET 32 EV STORE 181,888-758-4389,2024-05-03T01:04:52Z,GPS,42.69757,-73.69042,Troy,US,,,NY,79 Vandenburgh ave,12180,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2060931'], 'posts': ['22378901', '22378911']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,152276,,2020-01-08,,,E,,MARKET 32 EV MARKET GLENMONT,888-758-4389,2024-05-03T01:04:47Z,GPS,42.602394,-73.79083,Glenmont,US,,,NY,329 Town Square Plaza,12077,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2059431'], 'posts': ['2448701', '2448711']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,152281,,2020-01-08,,,E,,MARKET 32 EV MALTA EV CHARGE,888-758-4389,2024-05-03T01:04:11Z,GPS,42.97366,-73.79479,Malta,US,,,NY,1 Kendall Way,12020,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2043211'], 'posts': ['23423841', '23423851']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,152282,,2020-01-08,,,E,,MARKET 32 EV 290 SARATOGA RD,888-758-4389,2024-05-03T01:04:08Z,GPS,42.87302,-73.929504,Schenectady,US,,,NY,290 Saratoga Rd,12302,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2041841'], 'posts': ['2425061', '2425071']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,152283,,2020-01-08,,,E,,MARKET 32 EV MARKET32 EV CP,888-758-4389,2024-05-03T01:03:46Z,GPS,42.865038,-73.78225,Clifton Park,US,,,NY,15 PARK AVENUE,12065,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2031001'], 'posts': ['25274441', '25274451']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,152319,,2020-01-09,,,E,,MARKET 32 EV MARKET 32 EG CH,888-758-4389,2024-05-03T01:04:53Z,GPS,42.607573,-73.719919,Rensselaer,US,,,NY,501 COLUMBIA PLAZA,12144,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2061331'], 'posts': ['22378601', '22378611']}"
public,24 hours daily,,,2024-05-03,2024-03-17,ELEC,TEMPORARILY UNAVAILABLE (Public),152320,,2020-01-09,,,T,,MARKET 32 EV MARKET32 EV EG2,888-758-4389,2024-05-03T01:04:53Z,GPS,42.607567,-73.72001,Rensselaer,US,,,NY,501 Columbia Turnpike,12144,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,"{'station': ['USCPIL2061321'], 'posts': ['22378481', '22378491']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,152437,,2020-01-15,,,E,,TANNERSVILLE TOWN HALL,888-758-4389,2024-05-03T01:04:22Z,GPS,42.19611,-74.13166,Tannersville,US,,,NY,1 Park Ln,12485,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2048301'], 'posts': ['11647921', '11647931']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,152438,,2020-01-15,,,E,,TANNERSVILLE MUNICIPAL LOT,888-758-4389,2024-05-03T01:04:22Z,GPS,42.195133,-74.13242,Tannersville,US,,,NY,20 Tompkins St,12485,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2047441'], 'posts': ['23744541', '23744551']}"
public,24 hours daily,,,2024-05-03,,ELEC,Public,152440,,2020-01-15,,,E,,PEPSICO INC STATION 1,888-758-4389,2024-05-03T01:03:59Z,GPS,41.096363,-73.77538,Valhalla,US,,,NY,50 E Stevens Ave,10595,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL2036441'], 'posts': ['2417881', '2417891']}"
